Action1,S2,Action2,Re,subject,round,rt2
1,3,1,3,208,113,1
1,2,1,3,208,114,1
1,2,1,5,208,115,1
1,2,1,4,208,116,1
1,2,1,3,208,117,1
1,3,1,5,208,118,1
1,3,1,3,208,119,1
2,3,2,-3,208,120,1
1,2,1,-1,208,121,1
1,2,1,0,208,122,1
1,2,1,0,208,123,1
2,3,1,2,208,124,1
2,2,1,-3,208,125,1
1,2,2,-2,424,1,0
2,3,2,-3,424,2,0
2,3,2,-1,424,3,0
2,3,1,-2,424,4,0
1,2,1,3,424,5,0
2,2,1,3,424,6,1
2,3,1,-4,424,7,1
2,3,1,-5,424,8,1
2,3,1,-4,424,9,1
2,2,1,1,424,10,1
2,3,1,-4,424,11,1
2,3,1,-4,424,12,1
2,2,1,2,424,13,0
2,2,1,1,424,14,1
1,2,1,0,424,15,1
1,3,2,-1,424,16,1
2,3,1,1,424,17,1
1,2,1,-1,424,18,1
1,2,1,-1,424,19,1
2,3,2,-1,424,20,1
1,2,1,-2,424,21,1
2,2,1,-2,424,22,1
2,3,2,-4,424,23,1
2,3,2,-4,424,24,1
2,3,2,-2,424,25,1
2,3,2,-4,424,26,0
1,2,1,3,424,27,1
1,2,1,1,424,28,1
1,2,1,-1,424,29,1
1,2,1,-1,424,30,1
1,2,1,-3,424,31,1
1,2,1,-3,424,32,1
1,2,1,0,424,33,1
1,3,2,-1,424,34,1
1,2,1,2,424,35,1
2,2,1,4,424,36,1
1,2,1,4,424,37,1
2,3,2,3,424,38,1
2,3,2,1,424,39,1
2,3,2,4,424,40,1
2,2,1,4,424,41,1
1,2,1,4,424,42,1
1,2,1,2,424,43,1
1,3,2,4,424,44,1
1,2,1,5,424,45,1
1,2,1,4,424,46,1
1,3,2,3,424,47,1
2,2,1,3,424,48,1
2,3,2,3,424,49,1
2,3,1,2,424,50,0
2,3,1,5,424,51,1
1,2,1,0,424,52,1
1,2,1,0,424,53,1
1,2,1,1,424,54,0
2,3,2,-1,424,55,1
2,3,1,5,424,56,1
2,2,1,2,424,57,1
2,3,1,4,424,58,1
2,3,1,4,424,59,1
2,3,1,3,424,60,1
2,3,1,4,424,61,1
2,2,1,4,424,62,1
2,3,1,3,424,63,1
2,3,1,3,424,64,1
1,2,2,-3,424,65,0
1,3,1,3,424,66,1
1,2,2,-1,424,67,1
1,2,2,-1,424,68,1
1,3,1,2,424,69,1
1,2,2,2,424,70,1
1,2,2,3,424,71,1
1,2,2,1,424,72,1
1,2,2,1,424,73,1
1,2,2,1,424,74,1
1,2,2,0,424,75,1
1,2,2,1,424,76,1
1,2,2,-3,424,77,1
1,2,2,-4,424,78,1
1,2,2,-5,424,79,1
1,2,2,-3,424,80,1
1,3,1,1,424,81,1
1,3,1,2,424,82,1
1,2,2,3,424,83,1
1,2,2,2,424,84,1
1,3,1,0,424,85,1
1,2,2,4,424,86,1
1,2,2,2,424,87,0
2,3,2,4,424,88,1
1,2,1,4,424,89,1
2,3,2,2,424,90,1
1,2,2,2,424,91,0
1,2,2,3,424,92,1
1,2,2,5,424,93,1
1,2,2,4,424,94,1
2,3,1,-5,424,95,0
1,2,1,2,424,96,1
1,2,1,1,424,97,1
1,2,1,-4,424,98,1
1,2,1,-4,424,99,1
1,3,2,0,424,100,0
2,2,2,5,424,101,0
2,3,2,0,424,102,1
1,3,1,-3,424,103,1
1,2,2,5,424,104,1
1,2,2,4,424,105,1
1,2,2,4,424,106,1
1,2,2,5,424,107,1
1,2,2,5,424,108,1
1,2,2,5,424,109,1
1,3,1,-3,424,110,1
1,2,2,0,424,111,1
1,3,1,-2,424,112,1
1,2,2,2,424,113,1
1,3,1,-5,424,114,1
1,3,1,-4,424,115,1
1,2,2,0,424,116,1
1,2,2,-1,424,117,1
1,2,2,0,424,118,1
1,2,2,1,424,119,1
1,2,2,1,424,120,1
1,2,2,-2,424,121,1
1,2,2,1,424,122,1
1,2,2,3,424,123,1
1,2,2,3,424,124,1
1,2,2,3,424,125,1
2,3,1,5,237,1,0
2,2,1,0,237,2,1
2,3,1,2,237,3,1
2,3,1,-3,237,4,1
2,3,1,-3,237,5,1
2,2,1,3,237,6,1
2,3,1,-1,237,7,1
2,2,1,2,237,8,1
2,3,2,-2,237,9,0
2,3,2,-1,237,10,1
2,3,2,-2,237,11,1
2,3,2,2,237,12,1
2,3,2,2,237,13,1
1,2,2,5,237,14,0
1,2,1,-1,237,15,0
2,3,2,3,237,16,0
2,3,2,0,237,17,1
1,2,1,1,237,18,1
1,2,1,1,237,19,1
1,2,1,3,237,20,1
1,2,2,-3,237,21,1
1,3,2,-3,237,22,1
1,3,2,-4,237,23,0
1,2,2,0,237,24,1
1,2,2,0,237,25,1
1,3,2,-1,237,26,1
1,2,2,0,237,27,1
1,2,2,-2,237,28,1
1,2,2,-4,237,29,1
1,2,1,5,237,30,1
2,3,2,2,237,31,1
2,2,1,4,237,32,1
2,3,2,2,237,33,1
2,3,2,2,237,34,1
2,3,2,1,237,35,1
2,3,2,0,237,36,1
2,3,2,1,237,37,1
2,3,2,2,237,38,1
2,3,2,2,237,39,1
2,2,1,-3,237,40,1
2,3,2,4,237,41,1
2,3,1,-5,237,42,0
2,3,1,-4,237,43,1
