Action1,S2,Action2,Re,subject,round,rt2
2,3,1,-1,472,58,0
1,2,1,3,472,59,1
2,3,1,-2,472,60,0
1,2,1,2,472,61,0
1,3,2,-4,472,62,0
2,2,1,0,472,63,0
1,2,1,-1,472,64,1
2,3,2,-2,472,65,1
1,2,2,1,472,66,1
1,2,1,1,472,67,0
1,2,1,-1,472,68,1
2,3,1,2,472,69,0
1,2,1,-1,472,70,0
1,2,1,-4,472,71,0
1,2,1,-5,472,72,0
2,3,1,1,472,73,1
2,3,1,3,472,74,1
1,3,2,-1,472,75,0
2,2,1,-4,472,76,0
1,2,1,-5,472,77,0
2,2,1,-5,472,78,1
2,3,1,3,472,79,0
2,2,2,4,472,80,1
2,3,1,2,472,81,1
2,3,1,1,472,82,0
2,3,1,0,472,83,1
2,3,1,1,472,84,0
2,3,2,-3,472,85,1
2,3,1,1,472,86,0
1,2,1,-3,472,87,1
2,3,1,-3,472,88,0
1,2,2,-1,472,89,0
1,2,2,0,472,90,0
1,2,2,-4,472,91,0
2,3,1,-2,472,92,0
2,3,1,-2,472,93,1
1,2,2,-2,472,94,0
2,2,1,0,472,95,0
2,3,1,-4,472,96,1
2,3,1,-3,472,97,0
2,3,1,-3,472,98,1
1,2,2,-1,472,99,0
1,3,1,1,472,100,1
2,3,1,1,472,101,0
1,2,2,0,472,102,0
1,2,1,3,472,103,1
1,2,2,0,472,104,1
2,3,1,1,472,105,1
1,2,1,3,472,106,0
1,2,2,-3,472,107,1
2,3,1,2,472,108,1
1,2,1,1,472,109,0
1,2,2,2,472,110,1
2,3,1,2,472,111,0
1,2,2,1,472,112,1
2,3,2,5,472,113,1
2,2,1,3,472,114,0
2,3,1,1,472,115,1
1,2,2,-2,472,116,1
1,2,1,1,472,117,1
2,3,1,-4,472,118,0
1,3,2,2,472,119,1
1,2,2,-2,472,120,0
1,2,2,-3,472,121,1
1,2,1,2,472,122,0
2,3,2,1,472,123,1
1,2,1,1,472,124,0
2,3,2,4,472,125,0
2,2,1,2,213,1,1
2,3,1,-3,213,2,1
2,3,1,-5,213,3,1
2,3,1,-5,213,4,1
