subject,time_elapsed,reading_time,check1,check2,check3,belief1,belief2,belief3,stamp
240,1510950,257277,0,1,2,2,0,0,8/17/17 17:55
171,1409087,151901,0,1,2,4,0,0,8/17/17 17:56
242,1459827,178354,0,1,2,2,0,0,8/17/17 17:57
277,1323857,99810,0,1,2,3,0,0,8/17/17 17:59
198,1393264,143188,0,1,2,3,0,0,8/17/17 17:59
59,1624258,304751,3,1,2,3,0,0,8/17/17 17:59
174,1796494,364478,1,1,2,3,0,0,8/17/17 18:00
153,1440750,111541,3,1,0,2,0,0,8/17/17 18:06
76,1347527,274095,0,1,2,3,0,0,8/17/17 18:08
189,1137114,92879,0,1,2,1,0,0,8/17/17 18:15
110,1687873,339424,1,1,2,1,0,0,8/17/17 18:19
276,2298796,1179117,0,1,2,3,0,0,8/17/17 18:20
31,1477514,38242,-1,0,3,2,1,1,8/17/17 18:20
300,1379071,198776,0,1,2,2,0,0,8/17/17 18:21
112,1324941,181549,0,1,2,2,0,0,8/17/17 18:21
216,1698729,322917,0,1,2,2,0,0,8/17/17 18:21
78,1203039,111276,0,1,2,2,1,0,8/17/17 18:21
71,1251405,176259,0,1,2,0,0,0,8/17/17 18:22
185,1641720,98889,2,1,2,1,0,1,8/17/17 18:29
211,1908855,217584,0,1,2,2,0,0,8/17/17 18:30
46,1404819,263473,3,1,2,4,0,0,8/17/17 18:31
64,1825954,498610,0,1,2,2,0,0,8/17/17 18:31
139,1362948,223015,0,1,2,2,0,0,8/17/17 18:31
47,1578933,353333,0,1,2,2,0,0,8/17/17 18:33
105,1192698,29295,0,1,3,3,0,1,8/17/17 18:34
80,2581743,335897,0,1,2,2,0,0,8/17/17 18:34
194,2328694,74480,2,0,3,2,0,1,8/17/17 18:35
34,1409167,220116,0,1,2,3,0,0,8/17/17 18:39
187,1348069,208084,0,1,2,1,0,0,8/17/17 18:39
6,1240448,173992,0,1,3,3,0,0,8/17/17 18:46
144,5890226,4843307,2,1,2,2,0,0,8/17/17 18:47
210,1483247,244805,0,1,2,1,0,1,8/17/17 18:48
150,1501270,264732,0,1,2,2,0,0,8/17/17 18:54
