Action1,S2,Action2,Re,subject,round
1,2,2,3,822,46
1,2,2,1,822,47
1,2,1,1,822,48
1,2,2,4,822,49
1,2,2,0,822,50
1,2,2,4,822,51
1,2,2,2,822,52
1,4,2,5,822,53
1,2,2,1,822,54
1,2,2,3,822,55
1,4,2,-3,822,56
1,2,2,3,822,57
1,4,1,1,822,58
1,2,2,5,822,59
1,2,2,2,822,60
1,2,2,0,822,61
1,2,1,2,822,62
1,2,1,3,822,63
1,2,1,4,822,64
1,2,1,4,822,65
1,2,1,3,822,66
1,2,1,0,822,67
1,4,1,-1,822,68
1,2,2,-3,822,69
1,2,1,4,822,70
1,2,1,4,822,71
1,4,1,-3,822,72
1,2,1,3,822,73
1,2,1,3,822,74
1,2,1,4,822,75
1,2,1,2,822,76
1,2,1,1,822,77
1,2,1,1,822,78
1,2,1,2,822,79
1,2,1,4,822,80
1,2,1,5,822,81
1,2,1,5,822,82
1,2,1,4,822,83
1,2,1,4,822,84
1,2,1,5,822,85
1,2,1,2,822,86
1,2,1,3,822,87
1,2,1,1,822,88
1,2,1,2,822,89
1,2,1,-1,822,90
1,4,1,-2,822,91
1,2,1,3,822,92
1,2,1,3,822,93
1,2,1,1,822,94
1,2,1,2,822,95
1,2,1,3,822,96
1,2,1,4,822,97
1,2,1,3,822,98
1,2,1,1,822,99
1,4,1,3,822,100
1,4,1,2,822,101
1,2,1,4,822,102
1,2,1,1,822,103
1,4,1,1,822,104
1,2,1,-3,822,105
1,2,1,-2,822,106
1,2,1,-1,822,107
1,2,1,4,822,108
1,2,1,4,822,109
1,4,1,4,822,110
1,2,1,4,822,111
1,2,1,5,822,112
1,2,1,2,822,113
1,2,1,-1,822,114
1,2,1,0,822,115
2,4,1,2,822,116
1,2,1,0,822,117
1,2,1,-2,822,118
2,3,1,1,822,119
2,3,1,2,822,120
2,3,1,2,822,121
2,3,1,-1,822,122
1,2,1,-1,822,123
2,3,1,-1,822,124
2,4,1,4,822,125
2,3,1,-3,822,126
1,2,1,-1,822,127
1,2,1,2,822,128
1,2,1,3,822,129
1,2,1,5,822,130
1,2,1,4,822,131
1,2,1,2,822,132
1,2,1,3,822,133
1,2,1,3,822,134
1,2,1,3,822,135
1,2,1,4,822,136
1,2,1,4,822,137
1,2,1,4,822,138
1,2,1,3,822,139
1,2,1,5,822,140
1,2,1,5,822,141
1,2,1,2,822,142
1,4,1,-2,822,143
1,2,1,4,822,144
1,2,1,5,822,145
1,2,1,3,822,146
1,2,1,3,822,147
1,2,1,4,822,148
1,4,1,4,822,149
1,2,1,5,822,150
1,2,1,5,822,151
1,2,1,4,822,152
1,2,1,5,822,153
1,4,1,2,822,154
1,2,1,1,822,155
1,4,1,0,822,156
1,4,1,0,822,157
1,2,1,3,822,158
1,2,1,3,822,159
1,2,1,-2,822,160
1,2,1,-2,822,161
1,2,1,-2,822,162
1,2,1,-4,822,163
1,4,1,-1,822,164
1,2,2,4,822,165
1,2,2,0,822,166
1,2,2,1,822,167
1,4,1,3,822,168
1,2,2,2,822,169
1,2,2,1,822,170
1,4,2,2,822,171
1,2,2,4,822,172
1,4,2,3,822,173
1,2,2,4,822,174
1,2,2,5,822,175
1,4,1,5,804,1
2,3,2,3,804,2
1,2,2,-4,804,3
1,2,1,1,804,4
2,3,1,0,804,5
1,2,2,-4,804,6
2,3,2,-4,804,7
2,3,1,-3,804,8
1,2,1,4,804,9
1,2,1,4,804,10
2,3,2,-4,804,11
2,3,2,0,804,12
1,4,2,-3,804,13
1,2,1,-4,804,14
2,4,1,0,804,15
1,2,1,-3,804,16
1,2,1,-3,804,17
1,2,1,-5,804,18
1,2,2,0,804,19
1,4,1,-4,804,20
2,3,2,-3,804,21
2,3,2,-3,804,22
2,3,1,3,804,23
2,3,1,4,804,24
2,4,1,-1,804,25
2,3,1,4,804,26
2,3,1,2,804,27
2,3,2,-5,804,28
1,2,2,0,804,29
2,4,1,-2,804,30
1,2,2,1,804,31
2,3,2,-1,804,32
2,3,2,-2,804,33
2,3,1,2,804,34
2,3,1,-1,804,35
2,4,1,0,804,36
2,4,2,1,804,37
1,2,1,-2,804,38
1,4,1,-2,804,39
2,3,1,-5,804,40
2,3,1,-4,804,41
2,4,2,1,804,42
1,4,2,0,804,43
1,2,2,-3,804,44
1,2,2,1,804,45
1,2,2,4,804,46
1,2,2,2,804,47
2,4,1,-3,804,48
1,2,2,4,804,49
1,2,2,2,804,50
1,2,2,4,804,51
2,4,2,4,804,52
1,2,2,-1,804,53
2,4,2,0,804,54
2,4,2,4,804,55
2,3,2,-4,804,56
1,2,2,5,804,57
1,4,2,3,804,58
1,2,2,5,804,59
1,2,2,3,804,60
1,2,2,2,804,61
2,3,1,4,804,62
1,2,2,4,804,63
1,2,2,4,804,64
1,2,2,3,804,65
1,2,2,3,804,66
1,4,2,1,804,67
1,2,2,1,804,68
1,2,2,3,804,69
1,2,2,1,804,70
1,2,2,-1,804,71
1,2,2,0,804,72
1,4,2,4,804,73
1,2,2,-1,804,74
1,2,2,1,804,75
1,2,2,2,804,76
1,2,2,4,804,77
1,2,2,5,804,78
1,2,2,0,804,79
1,4,2,2,804,80
1,2,2,1,804,81
2,4,1,2,804,82
1,4,2,0,804,83
1,2,2,3,804,84
1,2,2,2,804,85
1,2,2,3,804,86
1,4,2,-2,804,87
1,2,2,0,804,88
