Action1,S2,Action2,rt2,Re,subject,round
2,3,1,0,5,428,115
2,3,1,0,4,428,116
2,3,1,0,2,428,117
1,2,2,0,0,428,118
2,3,1,0,0,428,119
1,4,1,1,2,428,120
1,4,1,1,3,428,121
1,2,2,1,0,428,122
2,3,1,0,-3,428,123
1,2,2,1,2,428,124
1,2,2,0,2,428,125
1,4,2,0,0,428,126
1,2,2,0,0,428,127
1,2,2,1,0,428,128
1,2,2,1,0,428,129
1,2,2,1,3,428,130
1,2,2,1,2,428,131
1,2,2,1,2,428,132
1,2,2,1,4,428,133
1,2,2,1,4,428,134
1,2,2,1,0,428,135
1,2,2,1,3,428,136
1,2,2,1,3,428,137
1,2,2,1,2,428,138
1,2,2,1,3,428,139
1,2,2,1,2,428,140
1,2,2,1,0,428,141
1,2,2,1,0,428,142
1,2,2,1,0,428,143
1,2,2,1,-2,428,144
1,2,2,0,-2,428,145
2,3,1,0,4,428,146
2,4,1,0,0,428,147
2,4,1,0,2,428,148
2,3,1,0,0,428,149
1,2,2,0,-4,428,150
2,3,2,1,0,428,151
2,3,2,1,-3,428,152
2,3,1,0,3,428,153
2,3,1,0,-3,428,154
1,2,2,1,0,428,155
2,3,1,0,-5,428,156
2,3,2,0,-2,428,157
1,2,2,1,-4,428,158
2,4,1,1,-2,428,159
2,4,1,1,-3,428,160
2,4,1,1,-4,428,161
1,2,1,1,4,428,162
1,2,1,1,4,428,163
1,4,1,1,-5,428,164
1,2,1,0,5,428,165
1,2,1,0,4,428,166
1,2,1,0,4,428,167
1,2,1,0,3,428,168
1,4,1,0,0,428,169
1,2,1,0,3,428,170
1,2,1,0,2,428,171
1,4,1,0,-3,428,172
1,2,1,0,3,428,173
1,2,1,0,2,428,174
1,2,1,0,0,428,175
2,3,2,0,-5,377,1
2,3,2,0,-4,377,2
1,4,1,0,3,377,3
2,3,2,1,-4,377,4
1,2,1,1,3,377,5
2,3,2,0,-4,377,6
1,2,1,0,4,377,7
1,2,1,0,5,377,8
1,2,2,0,2,377,9
1,2,2,1,0,377,10
1,2,1,1,4,377,11
1,2,1,1,4,377,12
2,3,1,0,2,377,13
1,2,1,0,2,377,14
1,4,2,1,2,377,15
1,2,2,1,0,377,16
1,2,2,0,2,377,17
1,2,2,1,0,377,18
2,4,2,0,3,377,19
2,3,1,0,2,377,20
1,2,1,0,-5,377,21
1,4,1,0,2,377,22
1,2,1,0,-3,377,23
1,2,2,0,-2,377,24
2,4,2,0,-3,377,25
1,2,2,0,-2,377,26
1,4,2,0,-5,377,27
1,2,2,0,-4,377,28
1,2,2,1,-3,377,29
1,2,1,0,0,377,30
1,2,1,0,0,377,31
1,2,1,1,-2,377,32
2,3,1,1,0,377,33
2,4,2,1,-5,377,34
2,3,2,1,-2,377,35
1,2,2,1,0,377,36
1,2,1,0,0,377,37
1,2,1,1,0,377,38
1,2,2,0,0,377,39
1,2,2,0,-2,377,40
1,2,2,0,-3,377,41
2,3,1,1,-4,377,42
2,3,2,0,-5,377,43
1,4,2,1,5,377,44
1,2,1,0,0,377,45
2,4,2,1,4,377,46
2,4,2,0,3,377,47
2,3,1,1,-4,377,48
1,2,2,0,0,377,49
1,2,1,0,0,377,50
1,4,1,0,0,377,51
1,2,1,0,-2,377,52
1,2,1,0,-4,377,53
1,2,1,1,-4,377,54
1,4,1,1,-2,377,55
2,3,2,0,-3,377,56
2,3,2,1,-3,377,57
2,3,1,1,0,377,58
1,4,1,0,0,377,59
1,2,1,0,3,377,60
1,2,2,1,3,377,61
1,4,2,1,0,377,62
1,2,2,1,4,377,63
1,4,2,0,-5,377,64
1,2,2,0,3,377,65
1,2,1,0,4,377,66
2,3,1,0,0,377,67
1,4,1,1,0,377,68
1,4,2,1,0,377,69
1,2,2,1,2,377,70
2,3,1,0,2,377,71
2,3,1,0,4,377,72
1,2,2,0,0,377,73
2,4,1,0,-3,377,74
1,2,2,1,3,377,75
1,2,2,1,2,377,76
1,2,2,1,2,377,77
1,2,2,0,0,377,78
1,2,2,0,0,377,79
2,4,1,0,-2,377,80
2,3,1,0,0,377,81
1,2,1,1,-2,377,82
1,2,1,0,-4,377,83
1,4,2,0,2,377,84
2,3,1,0,0,377,85
2,4,1,0,0,377,86
2,3,1,0,0,377,87
1,2,1,0,-3,377,88
1,2,2,0,4,377,89
1,2,2,0,3,377,90
1,4,2,0,0,377,91
2,4,1,0,2,377,92
1,4,1,0,5,377,93
1,2,1,0,0,377,94
1,2,2,1,0,377,95
1,2,2,1,-4,377,96
2,3,1,1,-3,377,97
1,4,2,1,-4,377,98
1,2,2,0,0,377,99
2,3,1,0,0,377,100
1,2,1,1,0,377,101
1,2,2,1,0,377,102
1,2,2,1,0,377,103
1,2,2,1,0,377,104
1,2,2,1,2,377,105
1,2,2,1,0,377,106
1,2,2,1,0,377,107
1,4,2,1,3,377,108
1,2,2,1,2,377,109
1,2,2,1,0,377,110
2,3,2,1,4,377,111
1,2,2,0,-3,377,112
1,2,2,0,-2,377,113
1,2,1,0,-2,377,114
2,4,1,1,2,377,115
1,2,1,1,-2,377,116
2,3,1,0,-3,377,117
2,3,1,0,-3,377,118
2,4,1,0,3,377,119
1,2,2,0,0,377,120
