Action1,S2,Action2,Re,subject,round,bestA1,bestA2
2,2,1,1,253,86,0,0
1,2,2,3,253,87,0,0
1,2,2,3,253,88,0,0
1,2,2,3,253,89,0,0
2,2,1,2,253,90,0,0
2,3,1,-1,253,91,0,0
1,2,1,-1,253,92,0,0
2,2,2,-5,253,93,0,0
1,2,2,-4,253,94,0,0
2,3,1,-1,253,95,0,0
2,3,2,-2,253,96,0,0
1,2,1,3,253,97,0,0
1,2,1,2,253,98,0,0
1,2,2,-1,253,99,0,0
1,3,1,1,253,100,0,0
2,2,1,3,253,101,0,0
1,2,1,0,253,102,0,0
1,2,1,-1,253,103,0,0
1,2,1,1,253,104,0,0
2,3,1,2,253,105,0,0
2,3,1,2,253,106,0,0
1,2,2,-5,253,107,0,0
1,2,1,-4,253,108,0,0
2,3,1,2,253,109,0,0
2,3,1,4,253,110,0,0
2,3,1,2,253,111,0,0
2,3,1,4,253,112,0,0
2,2,2,-1,253,113,0,0
2,3,1,4,253,114,0,0
2,2,2,2,253,115,0,0
2,3,1,2,253,116,0,0
2,3,1,2,253,117,0,0
2,3,1,5,253,118,0,0
2,2,1,4,253,119,0,0
2,2,2,-4,253,120,0,0
2,2,1,2,253,121,0,0
2,2,1,5,253,122,0,0
2,3,1,2,253,123,0,0
2,3,1,3,253,124,0,0
1,2,1,4,253,125,0,0
2,3,1,4,253,126,0,0
1,2,1,5,253,127,0,0
2,3,1,3,253,128,0,0
2,3,1,2,253,129,0,0
1,2,1,0,253,130,0,0
2,2,1,1,253,131,0,0
2,2,1,4,253,132,0,0
1,2,1,3,253,133,0,0
2,3,1,5,253,134,0,0
1,3,1,4,253,135,0,0
2,3,1,5,253,136,0,0
2,3,1,5,253,137,0,0
1,2,1,-1,253,138,0,0
1,3,1,0,253,139,0,0
2,3,1,2,253,140,0,0
1,2,1,-4,253,141,0,0
2,3,1,1,253,142,0,0
2,2,2,-5,253,143,0,0
2,3,1,2,253,144,0,0
2,3,1,2,253,145,0,0
2,3,1,4,253,146,0,0
2,3,1,1,253,147,0,0
2,3,1,0,253,148,0,0
1,2,1,-3,253,149,0,0
1,2,2,-1,253,150,0,0
2,3,1,-1,253,151,0,0
2,3,1,-1,253,152,0,0
1,2,2,-1,253,153,0,0
1,2,2,-5,253,154,0,0
1,3,2,-4,253,155,0,0
2,2,1,-2,253,156,0,0
1,2,2,-4,253,157,0,0
1,3,2,-4,253,158,0,0
2,2,1,-4,253,159,0,0
2,3,1,1,253,160,0,0
2,3,1,3,253,161,0,0
2,3,1,5,253,162,0,0
2,2,1,-4,253,163,0,0
2,2,2,-1,253,164,0,0
2,3,1,2,253,165,0,0
1,2,2,-4,253,166,0,0
1,2,1,-2,253,167,0,0
2,3,1,4,253,168,0,0
2,2,1,-4,253,169,0,0
1,2,1,-5,253,170,0,0
2,3,2,-5,253,171,0,0
2,3,1,3,253,172,0,0
2,3,1,3,253,173,0,0
1,2,2,3,253,174,0,0
1,2,2,0,253,175,0,0
2,3,1,0,253,176,0,0
2,2,2,0,253,177,0,0
2,2,1,-1,253,178,0,0
2,3,1,0,253,179,0,0
1,2,2,-3,253,180,0,0
2,3,2,2,253,181,0,0
2,3,1,-1,253,182,0,0
1,3,1,-1,253,183,0,0
2,3,1,4,253,184,0,0
2,3,2,1,253,185,0,0
2,3,2,0,253,186,0,0
2,3,1,3,253,187,0,0
2,2,1,1,253,188,0,0
2,3,1,-2,253,189,0,0
2,3,2,0,253,190,0,0
1,3,1,-4,253,191,0,0
2,3,2,-4,253,192,0,0
2,3,2,-3,253,193,0,0
1,2,2,-4,253,194,0,0
2,3,1,-5,253,195,0,0
1,2,1,-2,253,196,0,0
2,3,2,-4,253,197,0,0
1,2,2,3,253,198,0,0
1,2,2,2,253,199,0,0
1,2,1,-1,253,200,0,0
1,2,2,1,253,201,0,0
1,2,2,1,253,202,0,0
1,2,2,3,253,203,0,0
1,2,2,4,253,204,0,0
1,3,1,-1,253,205,0,0
1,3,2,-4,253,206,0,0
1,2,1,2,253,207,0,0
1,2,1,4,253,208,0,0
1,2,1,3,253,209,0,0
1,2,1,1,253,210,0,0
1,2,2,3,253,211,0,0
2,2,2,5,253,212,0,0
2,3,1,4,253,213,0,0
1,2,1,5,253,214,0,0
1,2,1,2,253,215,0,0
1,2,1,-2,253,216,0,0
1,2,2,-3,253,217,0,0
1,2,2,0,253,218,0,0
1,2,2,1,253,219,0,0
1,2,2,-4,253,220,0,0
1,2,2,-3,253,221,0,0
1,2,1,0,253,222,0,0
2,3,1,-1,253,223,0,0
2,3,1,-5,253,224,0,0
2,2,1,3,253,225,0,0
2,3,1,0,253,226,0,0
2,2,2,-4,253,227,0,0
1,2,1,1,253,228,0,0
2,3,2,2,253,229,0,0
2,2,1,1,253,230,0,0
1,2,1,3,253,231,0,0
2,2,1,2,253,232,0,0
1,3,1,-2,253,233,0,0
1,2,1,1,253,234,0,0
2,3,2,0,253,235,0,0
2,3,2,2,253,236,0,0
1,3,2,4,253,237,0,0
2,3,2,3,253,238,0,0
1,2,2,1,253,239,0,0
1,2,1,5,253,240,0,0
2,3,2,4,253,241,0,0
1,2,1,0,253,242,0,0
2,3,2,2,253,243,0,0
2,3,2,-3,253,244,0,0
2,3,2,1,253,245,0,0
1,3,2,1,253,246,0,0
1,2,1,-5,253,247,0,0
1,2,1,-4,253,248,0,0
2,2,1,-5,253,249,0,0
2,2,1,-5,253,250,0,0
2,3,2,2,30,1,0,0
1,3,2,1,30,2,0,0
1,3,2,0,30,3,0,0
2,3,1,-3,30,4,0,0
2,3,2,2,30,5,0,0
1,3,1,-5,30,6,0,0
2,3,2,4,30,7,0,0
2,3,2,4,30,8,0,0
2,3,2,0,30,9,0,0
2,3,1,-2,30,10,0,0
1,3,2,1,30,11,0,0
2,3,2,0,30,12,0,0
2,3,2,-4,30,13,0,0
2,2,1,-1,30,14,0,0
2,3,2,0,30,15,0,0
1,2,2,0,30,16,0,0
1,2,2,-1,30,17,0,0
2,2,2,-2,30,18,0,0
2,3,2,-2,30,19,0,0
2,2,2,0,30,20,0,0
2,3,2,-1,30,21,0,0
1,2,2,1,30,22,0,0
1,2,2,-1,30,23,0,0
1,3,2,3,30,24,0,0
2,2,2,-5,30,25,0,0
1,3,2,0,30,26,0,0
1,2,1,-4,30,27,0,0
1,2,2,-4,30,28,0,0
2,3,1,-2,30,29,0,0
2,3,2,-3,30,30,0,0
2,3,2,0,30,31,0,0
2,3,1,0,30,32,0,0
1,2,2,-3,30,33,0,0
1,2,2,-2,30,34,0,0
1,2,2,-2,30,35,0,0
1,2,2,-1,30,36,0,0
2,3,1,1,30,37,0,0
1,2,2,1,30,38,0,0
2,3,2,4,30,39,0,0
2,3,2,3,30,40,0,0
2,3,2,3,30,41,0,0
2,3,2,3,30,42,0,0
2,3,2,0,30,43,0,0
2,3,2,3,30,44,0,0
1,2,1,-3,30,45,0,0
2,3,2,3,30,46,0,0
2,2,1,-1,30,47,0,0
2,3,2,3,30,48,0,0
1,2,2,-1,30,49,0,0
2,2,2,0,30,50,0,0
2,3,1,2,30,51,0,0
2,3,2,4,30,52,0,0
2,3,2,5,30,53,0,0
2,3,2,5,30,54,0,0
2,3,2,5,30,55,0,0
2,2,2,3,30,56,0,0
2,3,2,5,30,57,0,0
2,2,2,1,30,58,0,0
1,2,2,4,30,59,0,0
2,3,1,-2,30,60,0,0
2,3,2,4,30,61,0,0
2,3,2,4,30,62,0,0
2,3,2,3,30,63,0,0
2,3,2,2,30,64,0,0
2,3,2,2,30,65,0,0
2,2,2,0,30,66,0,0
2,2,2,-1,30,67,0,0
2,3,2,-4,30,68,0,0
2,2,1,0,30,69,0,0
2,3,2,-3,30,70,0,0
2,3,2,-2,30,71,0,0
2,3,1,-4,30,72,0,0
2,3,2,4,30,73,0,0
2,3,2,3,30,74,0,0
2,3,2,3,30,75,0,0
1,2,2,-5,30,76,0,0
2,3,2,1,30,77,0,0
2,3,2,1,30,78,0,0
2,2,1,5,30,79,0,0
1,3,2,1,30,80,0,0
2,3,1,-2,30,81,0,0
1,2,1,2,30,82,0,0
1,3,2,-4,30,83,0,0
2,3,2,-5,30,84,0,0
1,2,2,-3,30,85,0,0
1,3,1,3,30,86,0,0
1,2,1,-3,30,87,0,0
2,2,2,3,30,88,0,0
2,3,2,-5,30,89,0,0
2,3,1,4,30,90,0,0
1,2,1,-5,30,91,0,0
2,3,1,3,30,92,0,0
2,2,1,-3,30,93,0,0
2,2,2,3,30,94,0,0
2,3,2,-4,30,95,0,0
2,2,1,3,30,96,0,0
2,2,1,2,30,97,0,0
2,2,1,4,30,98,0,0
2,2,2,1,30,99,0,0
1,2,1,3,30,100,0,0
2,3,1,1,30,101,0,0
1,2,1,3,30,102,0,0
2,3,1,0,30,103,0,0
2,3,1,-1,30,104,0,0
2,3,1,-1,30,105,0,0
2,2,2,4,30,106,0,0
2,3,1,0,30,107,0,0
2,3,2,-5,30,108,0,0
2,3,1,-2,30,109,0,0
2,2,1,3,30,110,0,0
2,2,1,3,30,111,0,0
1,2,1,3,30,112,0,0
1,2,1,2,30,113,0,0
1,3,2,-2,30,114,0,0
2,2,1,3,30,115,0,0
1,3,1,-1,30,116,0,0
2,2,1,-1,30,117,0,0
1,2,2,3,30,118,0,0
2,3,1,0,30,119,0,0
2,2,2,1,30,120,0,0
2,3,1,-5,30,121,0,0
1,2,1,-4,30,122,0,0
1,3,1,-5,30,123,0,0
2,3,2,1,30,124,0,0
2,3,1,0,30,125,0,0
2,3,1,-1,30,126,0,0
2,3,1,-1,30,127,0,0
1,2,2,5,30,128,0,0
1,2,2,5,30,129,0,0
2,3,2,2,30,130,0,0
1,2,2,1,30,131,0,0
1,2,2,2,30,132,0,0
2,2,2,-1,30,133,0,0
1,2,2,1,30,134,0,0
1,2,2,-3,30,135,0,0
2,3,2,-1,30,136,0,0
2,3,1,2,30,137,0,0
1,2,2,-2,30,138,0,0
2,3,1,2,30,139,0,0
1,3,1,0,30,140,0,0
1,3,2,5,30,141,0,0
1,2,2,-3,30,142,0,0
2,3,1,0,30,143,0,0
1,2,2,-4,30,144,0,0
2,2,1,-2,30,145,0,0
2,2,1,0,30,146,0,0
2,2,2,-1,30,147,0,0
2,2,1,5,30,148,0,0
2,2,1,3,30,149,0,0
2,2,2,-2,30,150,0,0
1,2,2,0,30,151,0,0
2,3,1,5,30,152,0,0
2,3,2,-2,30,153,0,0
1,2,1,5,30,154,0,0
2,3,2,1,30,155,0,0
2,2,1,5,30,156,0,0
1,2,1,5,30,157,0,0
1,3,2,4,30,158,0,0
1,2,1,-1,30,159,0,0
2,3,1,4,30,160,0,0
2,3,2,-3,30,161,0,0
2,2,1,0,30,162,0,0
2,3,1,5,30,163,0,0
2,3,1,4,30,164,0,0
1,2,2,-5,30,165,0,0
1,2,1,0,30,166,0,0
2,3,1,5,30,167,0,0
2,3,1,4,30,168,0,0
2,3,1,3,30,169,0,0
2,3,1,4,30,170,0,0
1,2,2,-1,30,171,0,0
1,3,1,3,30,172,0,0
2,3,2,3,30,173,0,0
2,3,1,3,30,174,0,0
1,2,1,-4,30,175,0,0
2,3,1,1,30,176,0,0
1,2,2,3,30,177,0,0
2,2,1,-4,30,178,0,0
2,3,2,-2,30,179,0,0
2,2,2,3,30,180,0,0
2,3,1,-4,30,181,0,0
2,3,1,-1,30,182,0,0
2,3,1,-2,30,183,0,0
2,3,1,-4,30,184,0,0
2,3,2,1,30,185,0,0
1,2,1,0,30,186,0,0
2,3,2,2,30,187,0,0
2,3,2,0,30,188,0,0
1,2,2,0,30,189,0,0
2,3,1,4,30,190,0,0
1,2,2,1,30,191,0,0
2,3,1,2,30,192,0,0
1,2,2,-2,30,193,0,0
2,3,1,1,30,194,0,0
1,3,2,2,30,195,0,0
2,3,2,2,30,196,0,0
2,3,2,2,30,197,0,0
2,2,1,-4,30,198,0,0
2,3,1,-4,30,199,0,0
2,3,2,4,30,200,0,0
2,2,2,-3,30,201,0,0
1,2,2,-2,30,202,0,0
1,3,1,-1,30,203,0,0
2,3,1,0,30,204,0,0
2,2,1,-4,30,205,0,0
1,2,1,-4,30,206,0,0
2,3,2,-3,30,207,0,0
2,2,2,-3,30,208,0,0
1,2,2,-1,30,209,0,0
2,3,1,5,30,210,0,0
2,3,1,2,30,211,0,0
2,3,1,1,30,212,0,0
2,2,1,2,30,213,0,0
2,3,1,-3,30,214,0,0
2,3,1,1,30,215,0,0
1,2,2,5,30,216,0,0
1,2,1,1,30,217,0,0
1,2,1,1,30,218,0,0
2,2,1,2,30,219,0,0
1,2,2,2,30,220,0,0
2,3,1,2,30,221,0,0
2,2,1,2,30,222,0,0
2,3,1,1,30,223,0,0
1,2,2,-1,30,224,0,0
1,2,2,0,30,225,0,0
2,3,2,0,30,226,0,0
1,3,1,3,30,227,0,0
1,2,1,-1,30,228,0,0
1,2,2,-3,30,229,0,0
2,3,2,4,30,230,0,0
2,2,2,-3,30,231,0,0
2,2,2,-4,30,232,0,0
2,3,2,5,30,233,0,0
2,3,1,3,30,234,0,0
2,3,2,2,30,235,0,0
1,2,2,-3,30,236,0,0
2,3,2,-2,30,237,0,0
1,3,1,-1,30,238,0,0
2,2,1,2,30,239,0,0
2,2,1,1,30,240,0,0
2,3,2,-3,30,241,0,0
1,2,1,-4,30,242,0,0
2,2,1,-3,30,243,0,0
1,2,1,-3,30,244,0,0
2,3,1,-1,30,245,0,0
2,3,1,0,30,246,0,0
2,3,2,0,30,247,0,0
1,2,1,-5,30,248,0,0
2,3,2,-2,30,249,0,0
1,2,2,-3,30,250,0,0
2,3,2,-5,27,1,0,0
1,2,1,-2,27,2,0,0
1,2,2,2,27,3,0,0
2,2,1,-1,27,4,0,0
2,3,2,-4,27,5,0,0
2,2,2,-2,27,6,0,0
2,3,2,-2,27,7,0,0
1,2,2,2,27,8,0,0
2,3,2,-4,27,9,0,0
1,3,1,1,27,10,0,0
2,3,1,1,27,11,0,0
2,3,1,3,27,12,0,0
2,3,1,3,27,13,0,0
2,3,2,-4,27,14,0,0
1,3,1,-1,27,15,0,0
2,2,1,5,27,16,0,0
2,3,1,0,27,17,0,0
1,2,1,4,27,18,0,0
1,2,2,-3,27,19,0,0
1,3,2,-1,27,20,0,0
2,3,1,2,27,21,0,0
2,2,1,5,27,22,0,0
1,3,2,-3,27,23,0,0
1,2,1,4,27,24,0,0
2,3,1,0,27,25,0,0
1,3,2,-3,27,26,0,0
2,3,1,1,27,27,0,0
2,3,2,-4,27,28,0,0
2,3,2,-4,27,29,0,0
1,2,1,3,27,30,0,0
1,2,1,5,27,31,0,0
1,2,2,2,27,32,0,0
1,2,1,4,27,33,0,0
1,2,2,4,27,34,0,0
1,3,2,-5,27,35,0,0
1,2,1,-1,27,36,0,0
1,2,1,-1,27,37,0,0
2,2,2,-1,27,38,0,0
2,3,2,-2,27,39,0,0
2,3,1,-3,27,40,0,0
1,2,1,5,27,41,0,0
1,3,1,-3,27,42,0,0
2,3,2,-5,27,43,0,0
1,3,2,-3,27,44,0,0
1,3,1,-2,27,45,0,0
1,3,1,0,27,46,0,0
2,3,2,5,27,47,0,0
2,2,2,0,27,48,0,0
2,3,1,3,27,49,0,0
2,3,1,4,27,50,0,0
2,3,1,4,27,51,0,0
2,3,2,3,27,52,0,0
2,2,2,4,27,53,0,0
1,2,1,-3,27,54,0,0
1,2,2,4,27,55,0,0
2,2,1,-3,27,56,0,0
2,2,2,4,27,57,0,0
2,2,1,-5,27,58,0,0
2,3,2,0,27,59,0,0
1,2,2,4,27,60,0,0
1,3,1,2,27,61,0,0
2,2,1,-1,27,62,0,0
2,3,1,-1,27,63,0,0
1,2,2,-3,27,64,0,0
1,2,1,2,27,65,0,0
1,2,1,2,27,66,0,0
1,2,2,-3,27,67,0,0
1,2,1,2,27,68,0,0
1,2,1,0,27,69,0,0
2,3,2,1,27,70,0,0
1,2,1,-1,27,71,0,0
1,2,2,0,27,72,0,0
1,2,1,0,27,73,0,0
2,2,1,-2,27,74,0,0
2,3,2,-4,27,75,0,0
2,3,2,-5,27,76,0,0
1,2,2,4,27,77,0,0
1,2,2,4,27,78,0,0
1,2,1,-4,27,79,0,0
2,2,2,-4,27,80,0,0
2,3,2,-3,27,81,0,0
1,2,2,-1,27,82,0,0
2,3,1,2,27,83,0,0
1,3,2,-5,27,84,0,0
2,3,2,-5,27,85,0,0
2,3,1,-2,27,86,0,0
1,2,1,1,27,87,0,0
1,2,2,-4,27,88,0,0
2,3,2,-4,27,89,0,0
1,2,1,1,27,90,0,0
1,2,2,-2,27,91,0,0
2,3,2,-3,27,92,0,0
2,3,2,-3,27,93,0,0
2,2,1,2,27,94,0,0
2,2,2,-4,27,95,0,0
2,3,2,-5,27,96,0,0
2,3,2,-3,27,97,0,0
2,3,2,-5,27,98,0,0
2,3,1,-4,27,99,0,0
1,2,2,-3,27,100,0,0
2,3,1,-2,27,101,0,0
2,3,2,-1,27,102,0,0
1,2,2,-2,27,103,0,0
1,2,1,4,27,104,0,0
1,3,2,0,27,105,0,0
2,3,1,-1,27,106,0,0
2,2,1,0,27,107,0,0
2,2,2,-3,27,108,0,0
1,2,2,-3,27,109,0,0
2,2,1,-2,27,110,0,0
2,2,1,-1,27,111,0,0
2,3,1,1,27,112,0,0
2,3,1,-2,27,113,0,0
1,2,1,-4,27,114,0,0
2,3,1,-3,27,115,0,0
2,2,1,-4,27,116,0,0
1,2,2,4,27,117,0,0
2,3,2,3,27,118,0,0
1,2,2,4,27,119,0,0
1,2,1,-1,27,120,0,0
2,2,2,5,27,121,0,0
2,3,1,4,27,122,0,0
1,3,1,2,27,123,0,0
1,2,2,-1,27,124,0,0
2,3,1,0,27,125,0,0
1,2,1,-4,27,126,0,0
1,2,1,-3,27,127,0,0
2,3,2,2,27,128,0,0
1,2,2,1,27,129,0,0
1,3,1,1,27,130,0,0
1,2,2,2,27,131,0,0
2,3,1,4,27,132,0,0
2,3,2,2,27,133,0,0
1,2,2,2,27,134,0,0
1,2,2,2,27,135,0,0
1,2,1,-3,27,136,0,0
1,2,1,-2,27,137,0,0
2,2,1,-3,27,138,0,0
2,3,1,-1,27,139,0,0
2,2,2,3,27,140,0,0
1,2,1,-5,27,141,0,0
2,3,2,3,27,142,0,0
1,3,2,2,27,143,0,0
1,2,1,-2,27,144,0,0
1,3,2,0,27,145,0,0
1,2,2,-3,27,146,0,0
2,3,1,3,27,147,0,0
1,2,1,-2,27,148,0,0
1,2,1,-2,27,149,0,0
1,2,2,-1,27,150,0,0
2,2,1,-4,27,151,0,0
1,2,2,-4,27,152,0,0
2,3,1,1,27,153,0,0
1,2,1,1,27,154,0,0
2,3,2,0,27,155,0,0
2,3,1,-1,27,156,0,0
1,3,1,-3,27,157,0,0
2,2,1,-5,27,158,0,0
1,2,2,-1,27,159,0,0
1,3,2,2,27,160,0,0
2,3,1,-4,27,161,0,0
2,3,1,0,27,162,0,0
1,3,2,1,27,163,0,0
1,2,1,0,27,164,0,0
2,3,1,3,27,165,0,0
2,3,2,-4,27,166,0,0
1,2,1,1,27,167,0,0
2,2,2,2,27,168,0,0
1,2,1,3,27,169,0,0
2,3,1,5,27,170,0,0
2,3,1,4,27,171,0,0
2,3,2,0,27,172,0,0
1,2,1,5,27,173,0,0
1,2,1,4,27,174,0,0
1,3,1,-3,27,175,0,0
1,2,1,3,27,176,0,0
1,2,2,-1,27,177,0,0
1,2,1,-2,27,178,0,0
1,3,2,4,27,179,0,0
2,3,2,5,27,180,0,0
1,2,1,-4,27,181,0,0
1,3,1,0,27,182,0,0
1,2,1,2,27,183,0,0
2,3,2,2,27,184,0,0
2,3,1,-1,27,185,0,0
2,3,2,3,27,186,0,0
2,3,2,0,27,187,0,0
2,3,2,-3,27,188,0,0
2,3,1,3,27,189,0,0
1,2,2,2,27,190,0,0
1,3,1,2,27,191,0,0
2,3,1,2,27,192,0,0
1,2,1,-2,27,193,0,0
1,3,2,2,27,194,0,0
2,3,1,4,27,195,0,0
1,3,2,2,27,196,0,0
2,3,1,3,27,197,0,0
2,3,2,-4,27,198,0,0
1,2,2,0,27,199,0,0
1,2,1,-3,27,200,0,0
2,3,1,3,27,201,0,0
2,2,2,0,27,202,0,0
2,2,2,-4,27,203,0,0
1,2,1,-3,27,204,0,0
1,3,2,-2,27,205,0,0
1,2,1,-1,27,206,0,0
1,2,2,-2,27,207,0,0
2,2,2,-4,27,208,0,0
1,2,2,-3,27,209,0,0
2,3,2,-3,27,210,0,0
2,3,2,-3,27,211,0,0
2,3,2,-3,27,212,0,0
2,3,1,2,27,213,0,0
1,3,1,2,27,214,0,0
2,2,1,2,27,215,0,0
2,3,1,1,27,216,0,0
2,3,2,2,27,217,0,0
1,2,2,-5,27,218,0,0
2,3,2,-1,27,219,0,0
2,2,2,-4,27,220,0,0
2,2,2,-4,27,221,0,0
1,2,1,-1,27,222,0,0
1,2,1,2,27,223,0,0
2,3,1,2,27,224,0,0
2,3,1,1,27,225,0,0
1,2,1,0,27,226,0,0
2,3,2,-3,27,227,0,0
1,3,2,-5,27,228,0,0
1,2,1,-4,27,229,0,0
1,2,2,-4,27,230,0,0
1,2,2,-4,27,231,0,0
1,3,2,-4,27,232,0,0
2,3,1,3,27,233,0,0
1,2,2,-1,27,234,0,0
2,3,1,0,27,235,0,0
1,2,2,1,27,236,0,0
1,3,2,-4,27,237,0,0
2,2,1,-1,27,238,0,0
1,2,2,3,27,239,0,0
2,2,1,-3,27,240,0,0
1,2,1,-2,27,241,0,0
1,2,2,1,27,242,0,0
1,3,2,4,27,243,0,0
2,2,2,-2,27,244,0,0
1,2,2,-3,27,245,0,0
2,3,2,2,27,246,0,0
2,3,1,-1,27,247,0,0
1,2,2,-2,27,248,0,0
2,3,1,-3,27,249,0,0
1,3,2,5,27,250,0,0
1,3,2,-1,189,1,0,0
2,3,1,-3,189,2,0,0
2,3,2,-2,189,3,0,0
1,3,1,0,189,4,0,0
1,2,1,3,189,5,0,0
1,2,1,2,189,6,0,0
1,3,1,2,189,7,0,0
1,3,1,1,189,8,0,0
1,2,2,4,189,9,0,0
1,3,2,-4,189,10,0,0
1,2,2,3,189,11,0,0
1,2,2,3,189,12,0,0
1,2,1,-1,189,13,0,0
2,3,1,-1,189,14,0,0
1,2,2,0,189,15,0,0
1,2,2,-2,189,16,0,0
2,3,1,-1,189,17,0,0
1,2,2,1,189,18,0,0
1,2,1,1,189,19,0,0
2,2,1,3,189,20,0,0
2,3,1,-1,189,21,0,0
1,2,2,5,189,22,0,0
1,2,2,4,189,23,0,0
1,2,2,3,189,24,0,0
2,3,1,1,189,25,0,0
2,3,1,2,189,26,0,0
1,2,1,5,189,27,0,0
1,2,1,3,189,28,0,0
1,3,1,3,189,29,0,0
1,2,1,3,189,30,0,0
1,2,1,2,189,31,0,0
1,2,1,3,189,32,0,0
1,2,2,1,189,33,0,0
1,2,1,-1,189,34,0,0
2,3,1,3,189,35,0,0
2,3,1,-2,189,36,0,0
1,2,2,0,189,37,0,0
1,2,1,-3,189,38,0,0
1,2,2,0,189,39,0,0
1,2,2,3,189,40,0,0
1,2,2,3,189,41,0,0
1,2,2,5,189,42,0,0
1,2,2,3,189,43,0,0
1,2,2,2,189,44,0,0
1,3,2,5,189,45,0,0
1,2,2,3,189,46,0,0
1,2,2,4,189,47,0,0
1,2,2,3,189,48,0,0
1,3,2,2,189,49,0,0
2,2,2,2,189,50,0,0
1,2,2,1,189,51,0,0
1,2,2,-1,189,52,0,0
2,2,2,0,189,53,0,0
1,2,2,0,189,54,0,0
2,3,2,-2,189,55,0,0
1,2,2,-3,189,56,0,0
1,2,1,5,189,57,0,0
1,2,1,3,189,58,0,0
1,2,1,1,189,59,0,0
2,3,1,3,189,60,0,0
2,3,1,0,189,61,0,0
1,2,1,5,189,62,0,0
1,2,1,1,189,63,0,0
2,2,1,-1,189,64,0,0
2,2,2,1,189,65,0,0
1,2,2,1,189,66,0,0
2,3,1,-1,189,67,0,0
1,2,1,-3,189,68,0,0
2,3,2,-4,189,69,0,0
1,3,2,-2,189,70,0,0
1,3,1,-1,189,71,0,0
1,3,2,0,189,72,0,0
1,2,2,4,189,73,0,0
1,2,2,4,189,74,0,0
1,2,2,3,189,75,0,0
1,2,2,4,189,76,0,0
2,3,1,-2,189,77,0,0
1,2,2,5,189,78,0,0
1,2,2,2,189,79,0,0
2,3,2,-3,189,80,0,0
1,3,2,-4,189,81,0,0
1,2,2,0,189,82,0,0
1,2,2,-1,189,83,0,0
1,2,2,-1,189,84,0,0
2,3,1,3,189,85,0,0
2,2,2,1,189,86,0,0
2,3,1,3,189,87,0,0
2,2,1,-3,189,88,0,0
2,3,1,4,189,89,0,0
2,3,1,5,189,90,0,0
2,3,1,4,189,91,0,0
2,3,1,3,189,92,0,0
2,3,2,-3,189,93,0,0
2,3,1,2,189,94,0,0
2,3,1,-2,189,95,0,0
1,2,1,-4,189,96,0,0
1,2,2,4,189,97,0,0
1,2,2,5,189,98,0,0
1,2,2,3,189,99,0,0
